active,confirmed,confirmed_deaths,confirmed_home_isolation,confirmed_in_infirmary,confirmed_in_intensive_care,confirmed_recovered,date,discarded,suspected,suspected_home_isolation,suspected_in_infirmary,suspected_in_intensive_care,tests_performed,tracked
40,45,0,37,2,1,5,2020-04-28,154,67,65,2,0,0,1169
45,50,0,43,1,1,5,2020-04-29,170,112,109,3,0,21,1216
45,0,0,43,1,1,5,2020-04-30,170,0,109,3,0,0,1216
95,101,0,93,1,1,6,2020-05-01,210,121,120,1,0,0,1297
115,121,0,114,0,1,6,2020-05-02,231,116,115,1,0,41,1317
151,157,0,147,3,1,6,2020-05-03,264,74,71,2,1,69,1335
162,168,0,159,2,1,6,2020-05-04,276,56,53,1,2,23,1341
178,189,0,175,1,2,11,2020-05-05,302,79,75,3,1,47,1609
192,206,0,189,1,2,14,2020-05-06,355,128,123,4,1,70,1697
218,233,0,213,2,3,15,2020-05-07,377,145,139,5,1,49,1744
240,266,0,235,2,3,26,2020-05-08,399,151,146,3,2,55,1788
286,312,0,281,2,3,26,2020-05-09,463,142,138,1,2,110,1828
312,338,0,304,5,3,26,2020-05-10,488,134,126,6,1,51,1848
327,353,0,316,8,3,26,2020-05-11,492,136,127,5,3,19,1859
362,405,0,348,11,3,43,2020-05-12,557,135,131,1,3,117,1957
340,420,0,331,5,4,80,2020-05-13,586,205,200,2,2,44,2045
342,441,0,331,5,6,99,2020-05-14,610,248,241,3,3,45,2108
351,464,0,343,2,6,113,2020-05-15,641,264,257,4,2,54,2199
390,514,0,382,2,6,124,2020-05-16,705,217,205,7,5,114,2266
390,514,0,382,2,6,124,2020-05-17,705,217,205,7,5,0,2266
452,577,1,443,1,8,124,2020-05-18,770,171,165,5,1,0,2324
489,636,2,480,2,7,145,2020-05-19,832,167,163,4,0,121,2431
462,651,2,451,4,7,187,2020-05-20,846,191,184,7,0,29,2515
450,684,2,439,4,7,232,2020-05-21,894,196,187,8,1,81,2615
454,712,2,441,5,8,256,2020-05-22,986,297,285,11,1,120,2711
467,737,2,456,4,8,268,2020-05-23,1018,421,409,11,1,57,2817
504,774,2,490,5,9,268,2020-05-24,1052,401,391,9,1,71,2858
547,818,3,532,5,10,268,2020-05-25,1130,313,306,5,2,122,2883
548,850,4,532,7,9,298,2020-05-26,1193,311,303,4,4,95,2949
